ID,country,owner_age,attitude_stable_business_environment,attitude_worried_shutdown,compliance_income_tax,perception_insurance_doesnt_cover_losses,perception_cannot_afford_insurance,personal_income,business_expenses,business_turnover,business_age_years,motor_vehicle_insurance,has_mobile_money,current_problem_cash_flow,has_cellphone,owner_sex,offers_credit_to_customers,attitude_satisfied_with_achievement,has_credit_card,keeps_financial_records,perception_insurance_companies_dont_insure_businesses_like_yours,perception_insurance_important,has_insurance,covid_essential_service,attitude_more_successful_next_year,problem_sourcing_money,marketing_word_of_mouth,has_loan_account,has_internet_banking,has_debit_card,future_risk_theft_stock,business_age_months,medical_insurance,funeral_insurance,motivation_make_more_money,uses_friends_family_savings,uses_informal_lender,Target
ID_DUMMY000243,lesotho,33.081875191279366,Don't know or N/A,Yes,No,Don't know or N/A,Don't know or N/A,16.74191433931265,483.29794538502324,3660.105348500904,3.831925226324291,Used to have but don't have now,Never had,No,Yes,Male,"Yes, always",No,Have now,No,Yes,No,Yes,Yes,No,No,No,Used to have but don't have now,Have now,Never had,No,25.8242246420685,Have now,Used to have but don't have now,Yes,Used to have but don't have now,Never had,Medium
ID_DUMMY000244,zimbabwe,39.81628180992406,Yes,Yes,No,No,Don't know or N/A,9495.592278171991,1312.0821116191346,313.71216904066154,3.0291381554346426,Have now,Have now,,No,Male,No,No,Never had,"Yes, always",Yes,Don't know or N/A,No,No,No,No,No,Never had,Never had,Never had,Yes,101.32284992875391,Used to have but don't have now,Never had,Yes,Used to have but don't have now,Used to have but don't have now,Medium
ID_DUMMY000245,eswatini,39.672345525880814,No,No,Yes,Yes,Yes,461.0304449183212,564.0126177882174,367.732258428526,6.684799390123954,Never had,Have now,No,No,Female,"Yes, always",No,Used to have but don't have now,No,No,Yes,No,Yes,Don't know,Yes,Yes,Never had,Used to have but don't have now,Never had,Yes,57.122175524251986,Have now,Never had,Yes,Never had,Never had,Low
ID_DUMMY000246,lesotho,23.537186284823726,Don't know or N/A,Yes,Yes,Yes,No,118.25900825851285,9964.215372776138,1240.4349722069894,11.132042581618734,Have now,Never had,Yes,Yes,Male,No,Yes,Have now,"Yes, always",No,Yes,Yes,No,Don't know,Yes,Yes,Never had,Used to have but don't have now,Never had,Yes,114.6401623804714,Never had,Used to have but don't have now,No,Never had,Never had,Medium
ID_DUMMY000247,zimbabwe,31.971127136081,Don't know or N/A,No,No,No,Yes,23856.437470272864,442.1179450097717,48378.82439094978,1.4696452012448886,Used to have but don't have now,Used to have but don't have now,,Yes,Male,"Yes, always",Yes,Used to have but don't have now,"Yes, always",Don't know or N/A,Yes,No,Yes,Don't know,Yes,Yes,Never had,Used to have but don't have now,Used to have but don't have now,No,100.90458953111072,Have now,Used to have but don't have now,Yes,Have now,Used to have but don't have now,Medium
ID_DUMMY000248,eswatini,65.88769855918605,Yes,No,No,No,Yes,887.6434605649729,3338.0532541831,3098.6649757498353,5.062214460021356,Used to have but don't have now,Never had,No,Yes,Female,"Yes, always",No,Never had,No,Yes,No,No,No,Don't know,Yes,Yes,Have now,Have now,Never had,No,73.67203017120741,Have now,Have now,No,Used to have but don't have now,Have now,Low
ID_DUMMY000249,zimbabwe,40.3840497887892,Don't know or N/A,No,No,No,Yes,660.6104021213312,2186.283205183016,533.8486300475776,3.5894736616271414,Never had,Have now,,No,Male,"Yes, always",No,Used to have but don't have now,"Yes, always",No,No,Yes,Yes,Yes,No,No,Used to have but don't have now,Used to have but don't have now,Never had,Yes,81.6273335050024,Never had,Have now,Yes,Have now,Never had,Medium
ID_DUMMY000250,lesotho,35.616141384254696,Yes,Yes,No,Don't know or N/A,No,4312.877577586039,145.3741211913922,314.5348027784416,2.1516322533344003,Have now,Used to have but don't have now,,No,Female,"Yes, sometimes",No,Used to have but don't have now,No,No,No,No,Yes,No,Yes,Yes,Have now,Have now,Have now,Yes,92.95842374174183,Used to have but don't have now,Never had,Yes,Never had,Used to have but don't have now,Low
ID_DUMMY000251,eswatini,27.437068207816726,Yes,No,Yes,Yes,No,8719.398237446097,6493.495301593085,6595.322464114645,1.5397397477679515,Used to have but don't have now,Used to have but don't have now,No,Yes,Female,No,Yes,Never had,No,Don't know or N/A,No,No,Yes,No,No,No,Used to have but don't have now,Have now,Used to have but don't have now,No,2.5133953237095374,Used to have but don't have now,Used to have but don't have now,Yes,Never had,Have now,Low
ID_DUMMY000252,eswatini,51.9525722296698,No,No,No,No,No,656.1633865931026,129.96744550293113,26967.846730665595,1.1513900947795177,Have now,Never had,Yes,Yes,Female,No,Yes,Have now,"Yes, sometimes",Yes,No,No,No,Yes,No,No,Have now,Used to have but don't have now,Never had,Yes,14.566370179128771,Have now,Have now,No,Used to have but don't have now,Have now,Low
ID_DUMMY000253,malawi,55.938329702188696,No,No,Yes,Yes,Don't know or N/A,9067.573879065321,2172.9297651378547,89054.53561937736,0.2142829365455452,Never had,Never had,No,No,Male,No,No,Have now,"Yes, always",No,No,No,No,No,Yes,Yes,Never had,Never had,Used to have but don't have now,No,116.21865331132605,Used to have but don't have now,Never had,Yes,Have now,Never had,Medium
ID_DUMMY000254,malawi,32.27778123543828,Yes,Yes,No,Yes,No,19066.349542259337,1194.5438635378691,2932.0763471875384,4.366427510224252,Used to have but don't have now,Have now,,No,Female,"Yes, always",No,Used to have but don't have now,"Yes, always",No,No,No,No,Don't know,Yes,No,Never had,Used to have but don't have now,Used to have but don't have now,Yes,89.76878153154385,Have now,Have now,No,Never had,Used to have but don't have now,Medium
ID_DUMMY000255,malawi,46.459552948595594,No,No,Yes,No,Don't know or N/A,25463.839721371478,634.3310034678367,399.18405401599836,13.16125753212103,Never had,Used to have but don't have now,Yes,No,Female,"Yes, always",No,Used to have but don't have now,"Yes, sometimes",Yes,Don't know or N/A,Yes,Yes,Don't know,No,No,Never had,Used to have but don't have now,Used to have but don't have now,No,26.95387342126223,Have now,Never had,No,Never had,Used to have but don't have now,Medium
ID_DUMMY000256,malawi,27.462289671747598,Don't know or N/A,No,No,Don't know or N/A,Don't know or N/A,58.39830241924008,23964.064983426695,248.19753512078046,14.330176918900978,Have now,Never had,No,No,Female,No,No,Used to have but don't have now,No,Yes,Yes,Yes,No,Yes,No,No,Used to have but don't have now,Used to have but don't have now,Used to have but don't have now,No,28.883125419900594,Used to have but don't have now,Used to have but don't have now,Yes,Used to have but don't have now,Never had,Medium
ID_DUMMY000257,malawi,37.34495651697074,No,Yes,Yes,Yes,Don't know or N/A,1713.6371864294179,1739.0774434972996,7850.456661867384,1.683708889395092,Used to have but don't have now,Have now,No,No,Female,"Yes, always",Yes,Have now,"Yes, sometimes",No,Don't know or N/A,Yes,No,Don't know,Yes,No,Never had,Never had,Never had,Yes,97.91363267623407,Never had,Never had,No,Have now,Have now,Medium
ID_DUMMY000258,lesotho,37.99453943456306,No,Yes,Yes,Yes,No,5245.678642767333,755.1854216793984,32637.65743808573,9.225755435367258,Never had,Never had,No,No,Male,No,Yes,Used to have but don't have now,"Yes, sometimes",Yes,Yes,Yes,No,Don't know,No,Yes,Have now,Have now,Used to have but don't have now,Yes,87.41888125939359,Have now,Used to have but don't have now,Yes,Never had,Never had,High
ID_DUMMY000259,eswatini,47.95457522400895,Don't know or N/A,No,No,Yes,Yes,31161.782869965635,1438.7534213795773,175.16046448049389,20.889632975084726,Used to have but don't have now,Never had,No,No,Female,No,Yes,Have now,"Yes, always",Yes,Yes,Yes,Yes,No,No,No,Have now,Used to have but don't have now,Never had,No,112.48656797965427,Used to have but don't have now,Have now,Yes,Have now,Used to have but don't have now,Medium
ID_DUMMY000260,lesotho,44.7962554210317,No,Yes,No,Yes,No,810.2041171614698,496.24759089767775,5195.017300552051,3.524608069197645,Have now,Used to have but don't have now,No,No,Male,No,Yes,Used to have but don't have now,No,Yes,Don't know or N/A,Yes,No,Don't know,No,No,Used to have but don't have now,Used to have but don't have now,Have now,Yes,100.884363361344,Used to have but don't have now,Never had,No,Have now,Never had,Medium
ID_DUMMY000261,lesotho,43.70599615118756,No,No,Yes,Yes,No,89718.28642145586,1573.6133790527092,195444.08465915694,1.7658942500081025,Never had,Never had,No,No,Female,"Yes, always",No,Never had,"Yes, sometimes",No,Don't know or N/A,No,No,Don't know,No,Yes,Never had,Used to have but don't have now,Have now,Yes,67.80263914308193,Have now,Have now,No,Have now,Used to have but don't have now,Medium
ID_DUMMY000262,eswatini,49.04009945325439,Yes,Yes,No,Don't know or N/A,Yes,6388.896046469466,7590.320765752274,6073.719306781655,0.8721933524456189,Never had,Have now,Yes,No,Female,No,Yes,Never had,"Yes, always",Yes,Don't know or N/A,Yes,No,No,No,No,Used to have but don't have now,Never had,Have now,Yes,55.38689693037479,Used to have but don't have now,Used to have but don't have now,No,Have now,Never had,Medium
ID_DUMMY000263,eswatini,37.4917209125677,No,No,Yes,No,No,544.0053555570108,459.07556461103053,5215.765412288179,4.049359561738078,Used to have but don't have now,Never had,Yes,Yes,Male,"Yes, always",No,Never had,"Yes, sometimes",Don't know or N/A,Yes,Yes,No,Don't know,No,No,Never had,Never had,Have now,Yes,87.96855552356098,Used to have but don't have now,Never had,Yes,Used to have but don't have now,Used to have but don't have now,Medium
ID_DUMMY000264,lesotho,25.649403255577788,No,No,Yes,Yes,Don't know or N/A,7253.2529968629005,6600.807242258782,603.2856336544613,4.039721675980882,Never had,Never had,No,No,Female,"Yes, sometimes",Yes,Have now,"Yes, always",Don't know or N/A,Yes,No,Yes,No,Yes,No,Never had,Never had,Have now,No,0.6275536251495284,Never had,Used to have but don't have now,No,Never had,Have now,Medium
ID_DUMMY000265,lesotho,30.58122024301312,Yes,Yes,No,Yes,No,10900.466524211693,914.6832011637306,3847.421255253047,1.9795417215167819,Used to have but don't have now,Have now,,Yes,Female,No,No,Used to have but don't have now,No,No,Yes,Yes,Yes,Yes,No,Yes,Have now,Have now,Used to have but don't have now,Yes,17.86656603989336,Never had,Have now,No,Have now,Have now,Low
ID_DUMMY000266,malawi,48.668576293933256,Yes,Yes,Yes,No,Yes,1414.2203881681974,14624.387294804283,880.645239848992,10.86637839731507,Used to have but don't have now,Have now,No,No,Male,"Yes, always",No,Used to have but don't have now,No,No,Yes,No,Yes,No,Yes,Yes,Have now,Have now,Used to have but don't have now,No,71.1653201024141,Have now,Have now,No,Used to have but don't have now,Have now,Low
ID_DUMMY000267,malawi,22.979611204803618,No,Yes,No,Don't know or N/A,No,88.09205753482472,111.2205901777545,17547.23007878648,7.904187440553979,Never had,Used to have but don't have now,,No,Male,"Yes, always",Yes,Never had,"Yes, always",Yes,Yes,No,No,Yes,No,No,Never had,Have now,Never had,No,11.15887677877586,Have now,Used to have but don't have now,No,Have now,Have now,Medium
ID_DUMMY000268,eswatini,33.377702249290635,Don't know or N/A,Yes,Yes,No,Yes,497026.47403517587,470.42126511468257,2520.449016426352,4.337309835440721,Never had,Have now,Yes,Yes,Female,No,Yes,Used to have but don't have now,"Yes, always",Don't know or N/A,Don't know or N/A,Yes,No,Yes,Yes,No,Used to have but don't have now,Never had,Have now,Yes,67.37815055514285,Have now,Used to have but don't have now,Yes,Have now,Have now,High
ID_DUMMY000269,eswatini,64.73804291963677,No,Yes,Yes,Yes,No,33414.0737905086,5095.401721228836,5252.967891703839,1.5723259306312465,Used to have but don't have now,Used to have but don't have now,No,No,Female,No,Yes,Have now,"Yes, always",Don't know or N/A,Don't know or N/A,No,No,Don't know,Yes,Yes,Never had,Used to have but don't have now,Have now,No,99.00592922160745,Never had,Used to have but don't have now,Yes,Used to have but don't have now,Used to have but don't have now,Low
ID_DUMMY000270,lesotho,30.181613398932313,Yes,No,No,Yes,Yes,2960.90749114866,849.5638211702332,799.662298131042,7.683190946985041,Have now,Never had,Yes,Yes,Male,"Yes, sometimes",No,Have now,No,Don't know or N/A,Yes,Yes,No,No,No,No,Used to have but don't have now,Used to have but don't have now,Never had,No,84.92171216890989,Used to have but don't have now,Never had,No,Used to have but don't have now,Never had,Medium
ID_DUMMY000271,lesotho,41.06088263550217,No,No,No,No,Don't know or N/A,57242.97246109038,197.8415244791228,1275.9075053364386,1.9889190766618263,Used to have but don't have now,Have now,Yes,No,Female,No,Yes,Have now,No,No,Yes,Yes,No,No,Yes,Yes,Have now,Used to have but don't have now,Used to have but don't have now,Yes,52.08232394086503,Have now,Have now,No,Never had,Have now,Medium
ID_DUMMY000272,malawi,39.00783176988761,Yes,Yes,No,Yes,Don't know or N/A,2336.7234293657925,10616.60554171339,5627.727689979242,32.027364403170715,Have now,Have now,,Yes,Male,"Yes, always",Yes,Used to have but don't have now,"Yes, sometimes",No,Yes,No,No,No,No,Yes,Used to have but don't have now,Never had,Never had,No,111.97359976122692,Never had,Never had,No,Never had,Never had,Medium
ID_DUMMY000273,lesotho,27.70975810804954,Don't know or N/A,No,No,Don't know or N/A,Don't know or N/A,121562.66044722502,6846.894996356383,5155.275644149323,0.6297223224301701,Have now,Used to have but don't have now,No,No,Female,"Yes, always",Yes,Never had,"Yes, always",Don't know or N/A,Don't know or N/A,No,Yes,No,Yes,Yes,Have now,Never had,Never had,Yes,49.18858676355459,Used to have but don't have now,Have now,No,Used to have but don't have now,Have now,Medium
ID_DUMMY000274,lesotho,35.533518687147364,No,No,No,No,Yes,26304.550852363864,18525.055736948372,29080.942766853263,1.0196236897517545,Never had,Never had,Yes,Yes,Male,"Yes, always",Yes,Never had,"Yes, always",No,Don't know or N/A,Yes,Yes,No,Yes,Yes,Have now,Have now,Never had,No,43.46825299827461,Have now,Never had,Yes,Never had,Never had,Medium
ID_DUMMY000275,lesotho,41.690634962934446,No,No,Yes,No,Don't know or N/A,86.75788159962211,1780.6817423448367,1386.1915097984534,1.5007760910029715,Never had,Never had,No,No,Male,"Yes, sometimes",Yes,Never had,No,Don't know or N/A,No,No,No,Don't know,No,Yes,Have now,Have now,Have now,No,51.55881752867221,Never had,Used to have but don't have now,Yes,Used to have but don't have now,Never had,Low
ID_DUMMY000276,lesotho,46.163201278836596,Don't know or N/A,No,Yes,No,Don't know or N/A,1027.2065615079784,189.6394706018383,10.277201713284175,0.7163502844895132,Have now,Have now,Yes,No,Female,"Yes, sometimes",No,Never had,"Yes, always",No,Don't know or N/A,Yes,No,No,No,Yes,Used to have but don't have now,Never had,Used to have but don't have now,No,9.67218165085496,Used to have but don't have now,Used to have but don't have now,No,Never had,Have now,Medium
ID_DUMMY000277,lesotho,39.66982113939236,No,No,No,Yes,Don't know or N/A,103208.15944972457,13251.801995422802,794.1137700067868,7.251773494836926,Never had,Have now,,Yes,Female,"Yes, always",Yes,Never had,"Yes, always",Don't know or N/A,No,Yes,No,No,No,Yes,Never had,Used to have but don't have now,Never had,Yes,19.06898012032243,Have now,Have now,No,Used to have but don't have now,Never had,High
ID_DUMMY000278,zimbabwe,28.019374729740502,Don't know or N/A,Yes,Yes,No,No,5451.160493837085,3460.3340774846724,16456.565629740613,15.688163929801622,Never had,Used to have but don't have now,Yes,Yes,Male,"Yes, sometimes",No,Have now,"Yes, sometimes",Yes,Don't know or N/A,No,Yes,Don't know,Yes,Yes,Have now,Have now,Never had,Yes,8.274961962770542,Used to have but don't have now,Used to have but don't have now,Yes,Used to have but don't have now,Never had,Medium
ID_DUMMY000279,eswatini,38.798151082240565,Yes,Yes,Yes,No,Yes,1983.5679552625097,293.8372726937219,408.1420855710617,11.835862371081546,Used to have but don't have now,Have now,,No,Female,No,Yes,Never had,No,No,No,Yes,Yes,Yes,No,No,Never had,Never had,Have now,No,29.94554398194073,Have now,Used to have but don't have now,Yes,Never had,Have now,Medium
ID_DUMMY000280,malawi,50.963015514799,Don't know or N/A,No,No,Don't know or N/A,Don't know or N/A,598.0307049120898,10291.080760001334,1109.8470789715457,0.3380021938096258,Never had,Never had,,No,Male,"Yes, always",No,Have now,"Yes, sometimes",No,Don't know or N/A,No,Yes,No,Yes,Yes,Used to have but don't have now,Used to have but don't have now,Never had,Yes,58.50854324080612,Have now,Have now,No,Never had,Have now,Low
ID_DUMMY000281,eswatini,10.909116876724703,No,Yes,Yes,Don't know or N/A,Yes,17467.38650171526,3311.8619922775524,1089.6484466455327,0.11032524677500766,Used to have but don't have now,Used to have but don't have now,,No,Female,"Yes, sometimes",No,Used to have but don't have now,No,No,No,Yes,No,Don't know,Yes,No,Have now,Used to have but don't have now,Never had,No,79.6547623410707,Used to have but don't have now,Have now,No,Never had,Have now,Low
ID_DUMMY000282,eswatini,40.803888606698465,Yes,No,No,Don't know or N/A,Don't know or N/A,8365.558984599576,105.23344990818528,697.6413746146072,6.561892815365702,Used to have but don't have now,Never had,,No,Male,"Yes, always",No,Used to have but don't have now,"Yes, sometimes",Don't know or N/A,Yes,Yes,Yes,Don't know,No,Yes,Have now,Used to have but don't have now,Have now,Yes,117.7556508596696,Used to have but don't have now,Never had,No,Have now,Used to have but don't have now,Medium
ID_DUMMY000283,malawi,49.53117615546192,Yes,Yes,Yes,No,No,242.60173633117995,1703.3239713626451,157.2996762161586,3.1174758408616094,Used to have but don't have now,Used to have but don't have now,Yes,No,Female,"Yes, always",Yes,Have now,"Yes, sometimes",No,Don't know or N/A,Yes,No,Don't know,Yes,Yes,Have now,Used to have but don't have now,Used to have but don't have now,Yes,116.64063955578445,Have now,Have now,Yes,Never had,Used to have but don't have now,Medium
ID_DUMMY000284,lesotho,20.618418209133885,No,Yes,Yes,Yes,No,30622.144690801557,364.3491586026469,420.54252898117335,9.506177471315553,Never had,Have now,Yes,No,Male,"Yes, sometimes",No,Used to have but don't have now,No,Don't know or N/A,No,No,No,Don't know,No,No,Used to have but don't have now,Have now,Used to have but don't have now,No,67.346734593903,Never had,Never had,Yes,Have now,Used to have but don't have now,Low
ID_DUMMY000285,lesotho,27.810138172259236,Yes,Yes,Yes,No,No,3372.3317556150773,2086.4612967526264,6295.498247533898,0.35033346359758155,Never had,Used to have but don't have now,Yes,No,Male,No,No,Never had,"Yes, always",No,Don't know or N/A,No,Yes,Don't know,Yes,Yes,Have now,Have now,Have now,No,84.94021166757224,Have now,Have now,Yes,Never had,Never had,Low
ID_DUMMY000286,lesotho,30.068917352215365,Yes,No,No,Yes,Yes,3541.436681730101,219.5964364449268,9.408082212669926,0.9062578881090823,Used to have but don't have now,Have now,Yes,Yes,Female,"Yes, always",Yes,Have now,"Yes, sometimes",Don't know or N/A,No,No,No,No,No,Yes,Never had,Used to have but don't have now,Used to have but don't have now,No,113.48377764003388,Have now,Used to have but don't have now,No,Never had,Used to have but don't have now,Low
ID_DUMMY000287,malawi,45.23871764989201,Yes,No,No,Yes,No,18176.224668590403,31.67733201454621,293.67823567381197,5.263036671570292,Have now,Used to have but don't have now,Yes,No,Female,No,Yes,Never had,No,Yes,Don't know or N/A,No,Yes,Don't know,Yes,Yes,Used to have but don't have now,Used to have but don't have now,Used to have but don't have now,Yes,65.45182432882865,Used to have but don't have now,Used to have but don't have now,Yes,Have now,Used to have but don't have now,Low
ID_DUMMY000288,eswatini,40.2495244921049,Yes,Yes,Yes,No,Yes,695.0571813761525,833.5180339276933,21477.852232911537,0.26677486754224666,Never had,Used to have but don't have now,,No,Male,No,No,Have now,No,Yes,No,Yes,No,No,Yes,No,Never had,Used to have but don't have now,Have now,No,94.35338392608398,Have now,Never had,Yes,Never had,Used to have but don't have now,Low
ID_DUMMY000289,zimbabwe,32.24842985050557,No,Yes,Yes,No,Yes,602.8183977048908,531.5964860760006,325.05958537300046,7.068358739082581,Never had,Have now,No,Yes,Male,No,No,Never had,"Yes, always",Don't know or N/A,Yes,No,No,Yes,No,Yes,Have now,Have now,Have now,No,62.32630314047248,Never had,Never had,Yes,Never had,Used to have but don't have now,Medium
ID_DUMMY000290,zimbabwe,43.87695127739235,No,No,Yes,No,Yes,1799.5519491267332,707.8860232517462,108.44645451003791,20.995078624649754,Have now,Have now,,No,Male,"Yes, sometimes",Yes,Have now,No,Yes,Yes,No,Yes,Yes,Yes,No,Used to have but don't have now,Have now,Have now,Yes,92.64149715719884,Used to have but don't have now,Used to have but don't have now,Yes,Never had,Have now,Low
ID_DUMMY000291,zimbabwe,50.59731732576591,Yes,No,No,Yes,Yes,2551.216558052364,836.5448452871277,566704.6922744802,0.5573048725830221,Have now,Used to have but don't have now,No,Yes,Male,"Yes, always",No,Have now,No,No,Don't know or N/A,No,No,Don't know,Yes,No,Never had,Never had,Used to have but don't have now,Yes,78.81361256691528,Have now,Never had,No,Used to have but don't have now,Never had,Low
ID_DUMMY000292,zimbabwe,34.88370884553348,Don't know or N/A,No,No,Yes,Don't know or N/A,29640.33608937602,1299.7219238092764,135.78865084044853,1.6923368344452694,Used to have but don't have now,Have now,,No,Female,No,No,Have now,"Yes, always",Don't know or N/A,No,No,Yes,No,No,Yes,Used to have but don't have now,Never had,Used to have but don't have now,Yes,95.14253028406073,Used to have but don't have now,Have now,Yes,Never had,Used to have but don't have now,Low
ID_DUMMY000293,zimbabwe,62.47957331461055,No,No,No,Don't know or N/A,Yes,25850.78201291533,560.6053356935244,18139.178774606564,12.330821063064828,Used to have but don't have now,Used to have but don't have now,Yes,Yes,Female,No,Yes,Have now,"Yes, sometimes",Don't know or N/A,No,No,Yes,Don't know,Yes,Yes,Have now,Have now,Never had,No,63.9634640695368,Never had,Never had,Yes,Have now,Used to have but don't have now,Medium
ID_DUMMY000294,malawi,45.8167938075337,Yes,Yes,No,Don't know or N/A,Yes,548.5545292615182,417.6631521400196,11544.096637449358,9.73082490256681,Never had,Have now,No,Yes,Female,"Yes, sometimes",Yes,Never had,"Yes, always",Don't know or N/A,No,Yes,No,Don't know,No,Yes,Used to have but don't have now,Never had,Used to have but don't have now,Yes,108.73719057189197,Never had,Used to have but don't have now,Yes,Used to have but don't have now,Never had,Medium
ID_DUMMY000295,zimbabwe,35.98269601472151,No,Yes,No,Yes,Don't know or N/A,1329.6926090869952,261.7307048219458,3875.6873940499277,2.9019809744493594,Never had,Used to have but don't have now,,No,Female,"Yes, always",No,Used to have but don't have now,No,Don't know or N/A,Yes,No,No,No,No,Yes,Used to have but don't have now,Used to have but don't have now,Have now,No,73.83576300837625,Have now,Used to have but don't have now,Yes,Used to have but don't have now,Never had,Low
ID_DUMMY000296,eswatini,40.2906334800731,No,No,No,No,Yes,50233.68571559467,973.149689023003,4081.701575398122,20.71042688225587,Have now,Never had,No,Yes,Male,No,Yes,Used to have but don't have now,"Yes, sometimes",Yes,Yes,Yes,Yes,No,No,Yes,Used to have but don't have now,Used to have but don't have now,Never had,Yes,80.15039985643524,Have now,Have now,Yes,Used to have but don't have now,Used to have but don't have now,High
ID_DUMMY000297,malawi,27.25127766223744,No,Yes,Yes,No,Yes,7020.6718278615635,828.2239613169477,10660.64275878898,0.885078722413422,Have now,Never had,No,Yes,Male,No,No,Never had,No,No,Don't know or N/A,Yes,Yes,Yes,Yes,No,Have now,Used to have but don't have now,Never had,Yes,1.5129023970910849,Never had,Have now,Yes,Have now,Used to have but don't have now,Low
ID_DUMMY000298,lesotho,54.248632618777016,Yes,Yes,Yes,Don't know or N/A,Yes,529202.9491415403,2616.1256946080207,3250.0750580700897,0.4136840009027475,Have now,Have now,No,Yes,Female,"Yes, always",Yes,Have now,"Yes, sometimes",No,No,Yes,No,Don't know,Yes,No,Used to have but don't have now,Have now,Used to have but don't have now,Yes,87.77957884084348,Never had,Never had,Yes,Used to have but don't have now,Used to have but don't have now,Medium
ID_DUMMY000299,eswatini,44.06180612154029,Don't know or N/A,Yes,Yes,Don't know or N/A,Don't know or N/A,1651.1002778539905,1411.8998170021587,19373.773792588945,6.193559716560313,Have now,Have now,No,No,Female,"Yes, always",Yes,Never had,"Yes, always",Yes,Yes,No,No,Don't know,No,No,Used to have but don't have now,Used to have but don't have now,Never had,Yes,37.722013582049804,Have now,Have now,No,Have now,Have now,Medium
ID_DUMMY000300,eswatini,55.80538080807838,Don't know or N/A,Yes,Yes,Yes,Don't know or N/A,2353.9803634791,45.477497877695825,605.418783820709,3.4081927704243213,Used to have but don't have now,Never had,No,No,Male,"Yes, always",Yes,Never had,"Yes, sometimes",Yes,Don't know or N/A,No,No,Don't know,No,No,Used to have but don't have now,Have now,Have now,No,99.3899102924662,Never had,Never had,No,Never had,Have now,Medium
ID_DUMMY000301,zimbabwe,28.00837321246107,Yes,Yes,Yes,No,Don't know or N/A,1086.2103319214293,3869.6913942519577,4837.34077836113,0.5303453804904421,Never had,Never had,No,No,Female,"Yes, always",No,Never had,"Yes, always",No,Yes,Yes,No,Yes,Yes,Yes,Have now,Have now,Never had,No,28.78489353071337,Never had,Never had,Yes,Never had,Have now,Medium
ID_DUMMY000302,zimbabwe,35.298902211474136,Yes,No,Yes,No,Don't know or N/A,471.1514682706986,12370.421438452986,1012.1409870589571,5.2655316276775075,Never had,Never had,Yes,Yes,Male,"Yes, sometimes",Yes,Never had,No,Yes,No,Yes,No,Yes,No,No,Never had,Have now,Have now,Yes,74.51142809741174,Used to have but don't have now,Used to have but don't have now,No,Used to have but don't have now,Never had,Medium
ID_DUMMY000303,eswatini,51.97973077777552,Yes,Yes,Yes,Yes,Don't know or N/A,1257.347188567513,2009.4074076199354,1730.9884946354014,5.027551885048863,Have now,Used to have but don't have now,No,No,Female,No,Yes,Never had,No,Don't know or N/A,Yes,No,Yes,No,Yes,Yes,Used to have but don't have now,Have now,Never had,No,15.15176898774033,Never had,Used to have but don't have now,Yes,Have now,Used to have but don't have now,Low
ID_DUMMY000304,eswatini,25.851522506082368,Yes,No,No,No,Don't know or N/A,32059.818885863813,546.2485293017556,2596.9355144556425,0.9611409522956076,Have now,Never had,No,No,Female,No,No,Have now,"Yes, sometimes",Don't know or N/A,No,Yes,Yes,Yes,Yes,No,Never had,Have now,Never had,No,102.68847106869435,Have now,Have now,Yes,Have now,Have now,Medium
ID_DUMMY000305,eswatini,47.040325617703296,Yes,Yes,No,No,Don't know or N/A,1153.0809047966025,4051.919288275527,160.33038228411004,5.923311842148193,Have now,Never had,,Yes,Female,No,No,Have now,"Yes, sometimes",No,No,No,No,No,No,No,Have now,Never had,Never had,No,61.51857037740635,Never had,Have now,Yes,Have now,Never had,Medium
ID_DUMMY000306,malawi,27.996024104733102,Don't know or N/A,Yes,No,Yes,Yes,768.553409510062,2370.5132562196304,2498.0037889836444,10.247646330481997,Never had,Never had,No,Yes,Male,"Yes, sometimes",Yes,Used to have but don't have now,"Yes, sometimes",No,No,No,Yes,Don't know,Yes,No,Never had,Have now,Have now,No,91.92777318423632,Have now,Have now,Yes,Have now,Used to have but don't have now,Medium
ID_DUMMY000307,zimbabwe,47.616657622741236,No,Yes,Yes,Don't know or N/A,Don't know or N/A,27430.194753164633,2027.843080813705,1171.143875660073,5.554421087100344,Never had,Have now,Yes,No,Female,"Yes, sometimes",Yes,Have now,"Yes, always",No,Don't know or N/A,No,Yes,No,No,Yes,Have now,Never had,Used to have but don't have now,Yes,67.2528757176528,Have now,Used to have but don't have now,Yes,Have now,Used to have but don't have now,Medium
ID_DUMMY000308,malawi,38.408395043409115,No,Yes,No,No,Don't know or N/A,424.51247407642904,5771.117436540556,1455.8044375754,3.955434494928822,Have now,Used to have but don't have now,,No,Female,No,Yes,Used to have but don't have now,"Yes, always",Yes,Yes,No,No,No,Yes,No,Never had,Used to have but don't have now,Have now,Yes,45.64806587644916,Have now,Never had,No,Used to have but don't have now,Have now,Medium
ID_DUMMY000309,malawi,33.576061768552925,Yes,Yes,Yes,Don't know or N/A,Don't know or N/A,2487.251178763295,1804.3767059224713,2547.580651319251,1.6427795745700968,Never had,Never had,,No,Male,"Yes, always",Yes,Never had,"Yes, sometimes",No,Yes,Yes,No,Don't know,Yes,No,Never had,Have now,Used to have but don't have now,Yes,103.0010012158945,Never had,Have now,No,Have now,Never had,Medium
